Rumah Sakit,Reviewer,Waktu,Rating,Ulasan
RS EMC Tangerang,Zilla Zalila,11 bulan lalu,2.0,"Rumah sakit yang emang bagus tapi hanya untuk umum dan asuransi, BPJS kayanya disini di bedain bgt ya? Dari pelayanan yang ga di bimbing, nunggu segitu lama, ternyata data org tua ga ke input, kalau ga di make sure nanyaaa bisa nunggu …"
RS EMC Tangerang,Tan Vera,7 bulan lalu,1.0,21 Oct datang berobat ke Dr Febriana Felicia di lt 3. Datang scan barcode tensi aman susternya ramah. Lanjut ke stasion suster depan kamar dokternya ada 2 meja. Pelayanan rada judes nih susternya. Okeh duduk manis nunggu dipanggil. Pas …
RS EMC Tangerang,Imas Cucu,5 bulan lalu,5.0,"Terimakasih EMC tangerang, 8 hari ranap anakku mendapatkan pelayanan dan perawatan yg sangat the best.
Fasilitas lengkap, bersih, tertata, juga nyaman. Petugas, perawat, dokter semua memberikan yg terbaik. Pelayanan super kilat dan telaten. Sukses selalu EMC Cipondoh."
RS EMC Tangerang,Muhammad Hanafi,Diedit 7 bulan lalu,3.0,"masuk antrian kasir 12.52, sampe 02.01 belum ada panggilan. Setelah ditanyai terus baru diinfo uda dijawab asuransi 13.58. 1 jam lebih buang waktu nunggu tanpa tau apa kendala. last time ke rs ini deh …"
RS EMC Tangerang,kemas m tofani,5 bulan lalu,1.0,Isunya pada layanan. manajemen waktunya parah banget dari registrasi aja ud lama (masa satu nmr antrian bisa setengah jam). Ini baru registrasi doang. Blm farmasi tambah lama lagi terus kasir tambah lama lagi..perbaiki prosedur …
RS EMC Tangerang,Yuni Lestari,6 bulan lalu,2.0,"RS mengijinkan pasien membawa anak dibwh umur ikut menginap selama dirawat di ruangan, mengganggu kenyamanan dan anaknya juga berisik. Padahal pasien butuh ketenangan. …"
RS EMC Tangerang,Karen Angela,3 bulan lalu,5.0,"PAK MANDO DBESTTT.
Pelayanan top dr igd, rawat inap, smpe plg. Semua petugas sgt bantu 🙏 makasi  pakibu dokter, makasi para sus …"
RS EMC Tangerang,Bogel,5 bulan lalu,2.0,"Registrasi di emc cipondoh lama minta ampun, dan perawatnya tidak ramah dan kurang respon sama pasien. …"
RS EMC Tangerang,Rahma Wati,4 bulan lalu,1.0,"Lain kali klo mau negur keluarga pasien yg sopan IYA, kalau keluarga pasien tidak tau ada peraturan yg tidak di ketahui bisa ga ga ush pake nada yg merendakan keluarga pasien, kan BERPENDIKAN aturan bisa dong ber bahasa yg baik, saya ga tau nama dr itu tapi saya kecewa atas perilaku tersebut."
RS EMC Tangerang,Latif Sofiana Nugraheni,7 bulan lalu,5.0,"Selama berobat disini, pelayanan sangat maksimal baik dari Dokter, suster maupun staff RS..tidak ada perbedaan meskipun memakai asuransi BPJS.
Kebetulan saya sedang menjalani terapi bersama dokter spesialis mata (Dokter …"
RS EMC Tangerang,Rayyanka,5 bulan lalu,1.0,"Baru kali ini nemuin RS dari informasi sampe ketemu dokternya ga ramah, penjelasan dr. Abdul Muhaimin m.ac, sp. b bedah onkologi kurang detail kalah sama sariasih cipondoh nunggu berjam jam udah telat pas masuk cuma dijelasin ada benjolan …"
RS EMC Tangerang,Cintya,2 tahun lalu,5.0,"Thankyou RS EMC Tanggerang, pilihan keluarga besar kami kalau sakit pasti berobat & rawat inap nya di RS ini. Karena RS ini punya dokter spesialis terbaik & pelayanannya super duper mantap. Waktu itu aku punya nasabah ditanganin oleh Dokter …"
RS EMC Tangerang,prima dharma yongker,10 bulan lalu,1.0,"Gw dtg dr jam 2 untuk kontrol, jadwalnya 2.40 udh sampai 4.26 skrg masih blm dipanggil, nomor antrian ga based on schedule 😂 yg baru dtg udh dipanggil, malah ada beberapa orang pula 😂😂😂 …"
RS EMC Tangerang,Suwahyu Adi,6 bulan lalu,5.0,"Pengalaman Sy fisio terapi di EMC Tangerang, pelayanannya baik, waktunya sdh terjadwal, shg lebih enak mengatur waktu kedatangan & tdk banyak waktu yg terbuang, petugasnya ramah & terampil, shg waktu terapi terasa singkat & tdk membosankn,  smg hal ini dpt dipertahankn bahkn bisa ditingkatkan. Tks ya"
RS EMC Tangerang,Nathasha Hilary,5 bulan lalu,5.0,"RSnya oke, semua pelayanan juga baik mulai dari peradminan sampai penanganan medis. Ada beberapa urusan administrasi juga dibantu dengan smooth dgn admin mas yudhis dan mba tri. Keep it up!"
RS EMC Tangerang,Susana Maharani,2 tahun lalu,5.0,"RS EMC Tangerang bangunannya megah, lingkungannya bersih dan staff nya ramah. Bagian CS, registrasi, dan suster menjawab pertanyaan pasien dengan sabar dan memuaskan. Saya berkonsultasi dengan dr Robby dan beliau begitu sabar mendengar …"
RS EMC Tangerang,Tsuki Moon,2 tahun lalu,5.0,"Rumah Sakit EMC Tangerang. Amazing! Berrrrsiiih, baguss, nyamaann, terlihat MEWAH, terasa WAH. Pelayanan bagus & ramah ramah. Helpful sekali pokonya.👍👍 …"
RS EMC Tangerang,Sulaksono Sulaksono,6 bulan lalu,5.0,"Alhamdulillah pelayanan di rs emc Tangerang kami merasa sangat puas termasuk securitynya yang betul amanah sehingga membantu kami yg kehilangan hp terjatuh di sekitar halaman rs emc mengembalikan kepada kami,  sekali lagi terima kasih , semoga sukses selalu"
RS EMC Tangerang,Andrew Setiawan,4 bulan lalu,1.0,Kalo bukan karena butuh udah di tinggal pulang nunggu obat sampe 2 jam lebih emang ga kasian sama anak kecil berkebutuhan khusus yg udah lama nunggunya tantrum bukan di tempat nyamannya
RS EMC Tangerang,Ade Firmansyah,7 bulan lalu,5.0,"Alhamdulillah pelayan rumah sakit di RS EMC Tgr sangat memuaskan dari mulai pre admission sampai dgn selesai. Kami dibantu oleh marketing, suster & dokter semua baik juga ramah. Dokter urologi yg menangani operasi saya sangat baik, sabar & …"
RS EMC Tangerang,Iwan Osky,2 bulan lalu,5.0,"Farmasi  BPJS emc tangerang menjelaskan obat sudah cukup jelas, semoga ke depannya lebih baik lagi"
RS EMC Tangerang,Mawar Mauritia,6 bulan lalu,5.0,"Pelayanan rehabilitasi medic cepat, tidak nunggu lama, sesuai jadwal, terapisnya baik dan menyenangkan. Terima kasih ya atas pelayannya, saya berjuang untuk tetap sehat, semoga semua yang membaca juga selalu dianugerahi kesehatan yang baik"
RS EMC Tangerang,Marsha Tsalaasta,setahun lalu,5.0,"Kalo sakit dateng kesini tuh gada sama sekali kesan-kesan takutnya..
RS nya dr mulai depan sampe belakang ramah semua, pelayanannya ga ngebeda2in pasien.. …"
RS EMC Tangerang,eka puspita sari,setahun lalu,2.0,"Rumah Sakit Elit Pendaftaran SULIT 😮‍💨 saya datang jam 08.30 , dapet no antrian ke 69 , di jam 08.30 antrian baru sampai no 36, counter yg di buka hanya 1 , sedangkan 1 nomer bisa memakan waktu 5-10 menit, alhasil jam 11.40 saya baru …"
RS EMC Tangerang,Dea Amanda,6 bulan lalu,5.0,"Terima kasih buat pak robert bu ipong dan terapis lainnya yang sudah sabar, teliti dan care ke aku selama terapi. Terima kasih buat dokter alvin dan dokter penny ❤️❤️. Terima kasih rumah sakit EMC yang sudah beri pelayan terbaik untuk pasiennya❤️"
RS EMC Tangerang,ahmad alfan,setahun lalu,5.0,"Rumah sakit dengan tempat yg nyaman, ruang tunggu juga nyaman, bersih dan rapi. Pelayanannya juga nyaman, cepat dan ramah
Recommended banget untuk ke RS EMC Tangerang"
RS EMC Tangerang,Ari Kristiono,6 bulan lalu,5.0,"Terima kasih untuk pelayanan yang sangat baik dari EMC Tangerang, bagian Rehab Medik. Terima kasih untuk dr. Karisa, dr. Sagung, pak Robert bagian rehab medik BPJS, dan seluruh staff yang sudah bekerja dengan baik. Terus semangatt...
Dari: Meylany Rusmiaty"
RS EMC Tangerang,ariana dewi,Diedit 9 bulan lalu,1.0,Tadinya saya hanya mendengar dari berbagai sumber (termasuk dokter dari berbagai RS) kalau EMC tipe RS yg sulit sekali masuk sana aplg klo dgn BPJS. …
RS EMC Tangerang,Yunita Nur azizah,7 bulan lalu,5.0,"staff sangat ramah semua, rumah sakitnya bersih, fasilitas sangat oke sekali. pertahankan untuk pelayanannya yg sudah sangat bagus. sukses selalu emc tangerang🙏 …"
RS EMC Tangerang,Ican Acin,5 bulan lalu,1.0,Anak saya hari pertama masuk igd lalu di infus di suntik dengan biaya hampir 2 juta lalu selesai pulang ternyata keesokan hari waktu malam kambuh lagi dan saya bawa lg anak saya ke igd emc minta anak saya di rawat karena sakitnya di lambung …
RS EMC Tangerang,Suci Lestari,2 tahun lalu,5.0,"22 September 2023 lahiran.
dari awal rutin control dimana dr.efilda yg sangant jelas dalam menjelaskan ketika usg di lakukan . Dan bidan Siska yg selalu membantu dan cepat dalam merespons …"
RS EMC Tangerang,Regina Maulida -,6 bulan lalu,5.0,"The best pelayanan nya..
Terimakasih semua pihak pihak terkait.
Mulai dari mas mas parkir, security, mas mba cleaning service, suster dokter ahli gizi apoteker smuanya pokonya...
Terbaik pokonya"
RS EMC Tangerang,Dian Dagon,5 bulan lalu,1.0,Anak masuk igd sakit asam lambung biaya pribadi di suntik di infus kasih vitamin pulang dan masih sakit juga sehari kemudian balik igd lagi karna tidak kunjung sembuh lalu saya minta anak saya di rawat tapi dokter di sana tidak memboleh kan …
RS EMC Tangerang,Sibro Milsi,setahun lalu,5.0,Rumah sakit besar yang bagus dari fasilitasnya? Aprkiran juga luas dan igd bersih dan nyaman
RS EMC Tangerang,adhi purnomo,2 tahun lalu,5.0,"RS EMC the best dah adik sya OP usus buntu dgn dr Jeffry sangat ramah friendly, dari administrasi pendaftaran sampai ke suster penjaga security cepat tanggap ramah sangat membantu tidak membedakan dengan yang lain, adik saya sudah ditolak 3 …"
RS EMC Tangerang,Felicia pelii,5 bulan lalu,5.0,"Pelayanan yg didapat sangat baik, para pekerja sangat ramah dan sabar dalam membantu pasien ketika memberikan informasi. Saya dibantu oleh kak Yudis dan kak Tri dalam permasalahan saya kali ini dan dibantu dengan cepat dan sigap"
RS EMC Tangerang,Meity Chintia,setahun lalu,5.0,"Saya cabut gigi bungsu dengan Dr.Faulina dan dibantu sus Yosi, benar-benar baik pelayanannya, ramah, sangat satset banget tapi detail. Terima kasih banyak ya dok, sus, sehat selalu."
RS EMC Tangerang,ramli Tan,6 bulan lalu,1.0,"Saya habis operasi ambeyen degan dr.okkian wijaya kotamto degan biaya 75jt nginap 2hari, tapi hasil nya,ambeyen saya tidak bersih dan masih ada benjolan, setelah dicomplen malah dikasih resep dan disuruh minum obat lagi"
RS EMC Tangerang,Annisa Fajherin Malik,5 bulan lalu,5.0,"Had great experience here. Karena dr umumnya available sampe jam 20.00 di hari kerja. Sungguh sangat membantuku, di banding rs herm, dan sri*sh yg punya dr umum dipagi hari/sampai sore aja. Penjelasan dari dr Arlina sungguh sangat baik, dan mudah di mengerti."
RS EMC Tangerang,Yeni Herika,5 bulan lalu,5.0,"Sudah 3 tahun EMC Tangerang membersamai tumbuh kembang Aisyah , besyukur banyak progress yang di dapat.   terima kasih tim rehab medik khususnya Dr Sagung, ibu Puji, ibu Dewi yang telah banyak mendukung tumbuh kembang anak saya"
RS EMC Tangerang,prisma dinda,6 bulan lalu,5.0,"Best banget pelayanan nya dari staff , perawat dan dokternya
dari awal promil dgn dokter kondang usodo sampe 2x melahirkan dibantu beliau🥰
Sukses selalu emc …"
RS EMC Tangerang,Asri Wahyusari,8 bulan lalu,1.0,"Security di poly umum galak dan ngga sopan. Pasien duduk nunggu kerabat nya yg mau dateng, diusir diminta pindah duduk nunggu di lobby. Tadinya mau berobat, mending pindah beneran ke RS EMC Alam Sutera, dengan service yg lebih humanis."
RS EMC Tangerang,Anissyah Syaraswati,5 bulan lalu,2.0,"Pelayanan tidak baik
Dri awal pertama ksni buat berobat ortu
Bagian informasi di dpn seblm ambil nmr antri jutek tolong di perhatikan lagi …"
RS EMC Tangerang,Venny Lestari,9 bulan lalu,5.0,Pharmacy bpjs nya bagus pelayanannya. Ramah stafnya. Penjelasan obatnya jelas. Ditingkatkan lagi pelayanan yg sudah ada
RS EMC Tangerang,Arbani Noor Ailah,4 bulan lalu,5.0,"Terimakasih security EMC telah mengamankan dompet suami saya yang tertinggal di area ruang tunggu lobby Lotus,barang sudah saya ambil aman dan lengkap."
RS EMC Tangerang,Ayuhan Ramli,setahun lalu,5.0,"Selalu mempercayakan untuk solusi penyembuhan kesehatan di EMC Tangerang. Dari segi pelayanan, mulai satpam, OB, Suster, dokter baik dr Unit IGD, poli dan rawat inap semua ramah, sabar dan selalu menawarkan bantuan dan solusi untuk pasien …"
RS EMC Tangerang,Lorensia Delly,4 bulan lalu,5.0,"Hp saya tertinggal di tempat pembelian obat farmasi dan di temukan oleh petugas security lobby lotus,hp sudah di ambil di pos security basement hp aman dan lengkap …"
RS EMC Tangerang,Andri Yanto,5 bulan lalu,5.0,pegawai beserta staf bahkan perawat sama rekan medis nya bener bener top membantu pasien..kebersihan nya top terimakasih mba lena yang selalu telaten membersihkan kamar ranap dan bersih serta wangi sehat sehat untuk kalian semua nya ❤️❤️❤️
RS EMC Tangerang,Mastikarosliana@gmail.com Tika,6 bulan lalu,5.0,"Pelayanan yg sngt bagus,pelayanan yg sangat ramah,makanan nya juga enak sekali,semoga RS EMC tangerang ini semakin sukses untuk kedepannya dan semoga tetap pertahankan kwalitasnya,trimakasih"
RS EMC Tangerang,Taryamiedi Edi,5 bulan lalu,5.0,"Saya sangat berterima  kasih sama pak dr Norman Empendi dan suster2 yg ada di RS EMC saya di layani baik waktu di MRI ,semoga Tuhan yg membalas kebaikan pak Dokter dan suster2yg ada RS EMC Amin"
RS EMC Tangerang,Aisyah Pitoyo,2 bulan lalu,5.0,"Pelayanan cukup baik, untuk pendaftaran mobile JKN agar di permudah. Farmasi cukup baik"
RS EMC Tangerang,Mr. buy official,5 bulan lalu,1.0,Coba dong pelayanan nya lebih di permudah jngn di dibikin ribet walaupun BPJS mau berobat aja susah bngt harus scan ini lahh mobile jkn lah ga semua orang paham dngn program anda kasian yg kasian yg GK ngerti sosmed tolong yaa buat Emc di permudah peraturan nya
RS EMC Tangerang,dulo abdul,2 tahun lalu,1.0,"Conter pendaftaran manggil 1 nomer itu bisa makan waktu 10-15 menit, ngapain coba, ada 3 Conter pasien uda penuh duduk nunggu di lihat pada bercanda, apa karna Conter pendaftaran ngak kelihatan pasien makanya suka² mangilnya, saya datang jadi jam 6.30 no. 11 aja baru dipanggil jam 9 gilaaa x nii pendaftaran"
